name	version	license	license_source
anstream	1.0.0	MIT OR Apache-2.0	vendor/anstream-1.0.0/Cargo.toml
anstyle	1.0.14	MIT OR Apache-2.0	vendor/anstyle-1.0.14/Cargo.toml
anstyle-parse	1.0.0	MIT OR Apache-2.0	vendor/anstyle-parse-1.0.0/Cargo.toml
anstyle-query	1.1.5	MIT OR Apache-2.0	vendor/anstyle-query-1.1.5/Cargo.toml
anstyle-wincon	3.0.11	MIT OR Apache-2.0	vendor/anstyle-wincon-3.0.11/Cargo.toml
bitflags	2.13.1	MIT OR Apache-2.0	vendor/bitflags-2.13.1/Cargo.toml
block-buffer	0.10.4	MIT OR Apache-2.0	vendor/block-buffer-0.10.4/Cargo.toml
cfg-if	1.0.4	MIT OR Apache-2.0	vendor/cfg-if-1.0.4/Cargo.toml
clap	4.6.6	MIT OR Apache-2.0	vendor/clap-4.6.6/Cargo.toml
clap_builder	4.6.6	MIT OR Apache-2.0	vendor/clap_builder-4.6.6/Cargo.toml
clap_derive	4.6.4	MIT OR Apache-2.0	vendor/clap_derive-4.6.4/Cargo.toml
clap_lex	1.1.0	MIT OR Apache-2.0	vendor/clap_lex-1.1.0/Cargo.toml
colorchoice	1.0.5	MIT OR Apache-2.0	vendor/colorchoice-1.0.5/Cargo.toml
cpufeatures	0.2.17	MIT OR Apache-2.0	vendor/cpufeatures-0.2.17/Cargo.toml
crypto-common	0.1.7	MIT OR Apache-2.0	vendor/crypto-common-0.1.7/Cargo.toml
digest	0.10.7	MIT OR Apache-2.0	vendor/digest-0.10.7/Cargo.toml
equivalent	1.0.2	Apache-2.0 OR MIT	vendor/equivalent-1.0.2/Cargo.toml
errno	0.3.14	MIT OR Apache-2.0	vendor/errno-0.3.14/Cargo.toml
fastrand	2.5.0	Apache-2.0 OR MIT	vendor/fastrand-2.5.0/Cargo.toml
generic-array	0.14.7	MIT	vendor/generic-array-0.14.7/Cargo.toml
getrandom	0.4.3	MIT OR Apache-2.0	vendor/getrandom-0.4.3/Cargo.toml
hashbrown	0.17.1	MIT OR Apache-2.0	vendor/hashbrown-0.17.1/Cargo.toml
heck	0.5.0	MIT OR Apache-2.0	vendor/heck-0.5.0/Cargo.toml
indexmap	2.14.0	Apache-2.0 OR MIT	vendor/indexmap-2.14.0/Cargo.toml
is_terminal_polyfill	1.70.2	MIT OR Apache-2.0	vendor/is_terminal_polyfill-1.70.2/Cargo.toml
itoa	1.0.18	MIT OR Apache-2.0	vendor/itoa-1.0.18/Cargo.toml
libc	0.2.189	MIT OR Apache-2.0	vendor/libc-0.2.189/Cargo.toml
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/linux-raw-sys-0.12.1/Cargo.toml
memchr	2.8.3	Unlicense OR MIT	vendor/memchr-2.8.3/Cargo.toml
once_cell	1.21.4	MIT OR Apache-2.0	vendor/once_cell-1.21.4/Cargo.toml
once_cell_polyfill	1.70.2	MIT OR Apache-2.0	vendor/once_cell_polyfill-1.70.2/Cargo.toml
proc-macro2	1.0.107	MIT OR Apache-2.0	vendor/proc-macro2-1.0.107/Cargo.toml
quote	1.0.47	MIT OR Apache-2.0	vendor/quote-1.0.47/Cargo.toml
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	vendor/r-efi-6.0.0/Cargo.toml
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/rustix-1.1.4/Cargo.toml
serde	1.0.229	MIT OR Apache-2.0	vendor/serde-1.0.229/Cargo.toml
serde_core	1.0.229	MIT OR Apache-2.0	vendor/serde_core-1.0.229/Cargo.toml
serde_derive	1.0.229	MIT OR Apache-2.0	vendor/serde_derive-1.0.229/Cargo.toml
serde_json	1.0.151	MIT OR Apache-2.0	vendor/serde_json-1.0.151/Cargo.toml
serde_spanned	1.1.1	MIT OR Apache-2.0	vendor/serde_spanned-1.1.1/Cargo.toml
sha2	0.10.9	MIT OR Apache-2.0	vendor/sha2-0.10.9/Cargo.toml
strsim	0.11.1	MIT	vendor/strsim-0.11.1/Cargo.toml
syn	3.0.4	MIT OR Apache-2.0	vendor/syn-3.0.4/Cargo.toml
tempfile	3.27.0	MIT OR Apache-2.0	vendor/tempfile-3.27.0/Cargo.toml
terminal_size	0.4.4	MIT OR Apache-2.0	vendor/terminal_size-0.4.4/Cargo.toml
thiserror	2.0.20	MIT OR Apache-2.0	vendor/thiserror-2.0.20/Cargo.toml
thiserror-impl	2.0.20	MIT OR Apache-2.0	vendor/thiserror-impl-2.0.20/Cargo.toml
toml	1.1.4+spec-1.1.0	MIT OR Apache-2.0	vendor/toml-1.1.4+spec-1.1.0/Cargo.toml
toml_datetime	1.1.1+spec-1.1.0	MIT OR Apache-2.0	vendor/toml_datetime-1.1.1+spec-1.1.0/Cargo.toml
toml_parser	1.1.3+spec-1.1.0	MIT OR Apache-2.0	vendor/toml_parser-1.1.3+spec-1.1.0/Cargo.toml
toml_writer	1.1.2+spec-1.1.0	MIT OR Apache-2.0	vendor/toml_writer-1.1.2+spec-1.1.0/Cargo.toml
typenum	1.20.1	MIT OR Apache-2.0	vendor/typenum-1.20.1/Cargo.toml
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0	vendor/unicode-ident-1.0.24/Cargo.toml
utf8parse	0.2.2	Apache-2.0 OR MIT	vendor/utf8parse-0.2.2/Cargo.toml
version_check	0.9.5	MIT/Apache-2.0	vendor/version_check-0.9.5/Cargo.toml
windows-link	0.2.1	MIT OR Apache-2.0	vendor/windows-link-0.2.1/Cargo.toml
windows-sys	0.61.2	MIT OR Apache-2.0	vendor/windows-sys-0.61.2/Cargo.toml
winnow	1.0.4	MIT	vendor/winnow-1.0.4/Cargo.toml
zmij	1.0.23	MIT	vendor/zmij-1.0.23/Cargo.toml
