name	version	license	license_source
adler2	2.0.0	0BSD OR MIT OR Apache-2.0	vendor/adler2/Cargo.toml
ahash	0.8.11	MIT OR Apache-2.0	vendor/ahash/Cargo.toml
aho-corasick	1.1.3	Unlicense OR MIT	vendor/aho-corasick/Cargo.toml
allocator-api2	0.2.21	MIT OR Apache-2.0	vendor/allocator-api2/Cargo.toml
android-tzdata	0.1.1	MIT OR Apache-2.0	vendor/android-tzdata/Cargo.toml
android_system_properties	0.1.5	MIT/Apache-2.0	vendor/android_system_properties/Cargo.toml
anstream	0.6.18	MIT OR Apache-2.0	vendor/anstream/Cargo.toml
anstyle	1.0.10	MIT OR Apache-2.0	vendor/anstyle/Cargo.toml
anstyle-parse	0.2.6	MIT OR Apache-2.0	vendor/anstyle-parse/Cargo.toml
anstyle-query	1.1.2	MIT OR Apache-2.0	vendor/anstyle-query/Cargo.toml
anstyle-wincon	3.0.7	MIT OR Apache-2.0	vendor/anstyle-wincon/Cargo.toml
anyhow	1.0.98	MIT OR Apache-2.0	vendor/anyhow/Cargo.toml
arc-swap	1.7.1	MIT OR Apache-2.0	vendor/arc-swap/Cargo.toml
arraydeque	0.5.1	MIT/Apache-2.0	vendor/arraydeque/Cargo.toml
arrayvec	0.7.6	MIT OR Apache-2.0	vendor/arrayvec/Cargo.toml
async-broadcast	0.7.2	MIT OR Apache-2.0	vendor/async-broadcast/Cargo.toml
async-channel	2.3.1	Apache-2.0 OR MIT	vendor/async-channel/Cargo.toml
async-executor	1.13.1	Apache-2.0 OR MIT	vendor/async-executor/Cargo.toml
async-fs	2.1.2	Apache-2.0 OR MIT	vendor/async-fs/Cargo.toml
async-io	2.4.0	Apache-2.0 OR MIT	vendor/async-io/Cargo.toml
async-lock	3.4.0	Apache-2.0 OR MIT	vendor/async-lock/Cargo.toml
async-process	2.3.0	Apache-2.0 OR MIT	vendor/async-process/Cargo.toml
async-recursion	1.1.1	MIT OR Apache-2.0	vendor/async-recursion/Cargo.toml
async-signal	0.2.10	Apache-2.0 OR MIT	vendor/async-signal/Cargo.toml
async-task	4.7.1	Apache-2.0 OR MIT	vendor/async-task/Cargo.toml
