name	version	license	license_source
addr2line	0.24.2	Apache-2.0 OR MIT	vendor/addr2line/Cargo.toml
adler2	2.0.0	0BSD OR MIT OR Apache-2.0	vendor/adler2/Cargo.toml
aho-corasick	1.1.3	Unlicense OR MIT	vendor/aho-corasick/Cargo.toml
aligned-vec	0.5.0	MIT	vendor/aligned-vec/Cargo.toml
allocator-api2	0.2.21	MIT OR Apache-2.0	vendor/allocator-api2/Cargo.toml
android-tzdata	0.1.1	MIT OR Apache-2.0	vendor/android-tzdata/Cargo.toml
android_system_properties	0.1.5	MIT/Apache-2.0	vendor/android_system_properties/Cargo.toml
ansi-to-tui	7.0.0	MIT	vendor/ansi-to-tui/Cargo.toml
anstream	0.6.18	MIT OR Apache-2.0	vendor/anstream/Cargo.toml
anstyle	1.0.10	MIT OR Apache-2.0	vendor/anstyle/Cargo.toml
anstyle-parse	0.2.6	MIT OR Apache-2.0	vendor/anstyle-parse/Cargo.toml
anstyle-query	1.1.2	MIT OR Apache-2.0	vendor/anstyle-query/Cargo.toml
anstyle-wincon	3.0.7	MIT OR Apache-2.0	vendor/anstyle-wincon/Cargo.toml
anyhow	1.0.97	MIT OR Apache-2.0	vendor/anyhow/Cargo.toml
arbitrary	1.4.1	MIT OR Apache-2.0	vendor/arbitrary/Cargo.toml
arc-swap	1.7.1	MIT OR Apache-2.0	vendor/arc-swap/Cargo.toml
arg_enum_proc_macro	0.3.4	MIT	vendor/arg_enum_proc_macro/Cargo.toml
arrayvec	0.7.6	MIT OR Apache-2.0	vendor/arrayvec/Cargo.toml
async-priority-channel	0.2.0	Apache-2.0 OR MIT	vendor/async-priority-channel/Cargo.toml
autocfg	1.4.0	Apache-2.0 OR MIT	vendor/autocfg/Cargo.toml
av1-grain	0.2.3	BSD-2-Clause	vendor/av1-grain/Cargo.toml
avif-serialize	0.8.3	BSD-3-Clause	vendor/avif-serialize/Cargo.toml
backtrace	0.3.74	MIT OR Apache-2.0	vendor/backtrace/Cargo.toml
base64	0.22.1	MIT OR Apache-2.0	vendor/base64/Cargo.toml
better-panic	0.3.0	MIT	vendor/better-panic/Cargo.toml
bincode	1.3.3	MIT	vendor/bincode/Cargo.toml
bit_field	0.10.2	Apache-2.0/MIT	vendor/bit_field/Cargo.toml
bitflags	1.3.2	MIT/Apache-2.0	vendor/bitflags-1.3.2/Cargo.toml
bitflags	2.9.0	MIT OR Apache-2.0	vendor/bitflags/Cargo.toml
bitstream-io	2.6.0	MIT/Apache-2.0	vendor/bitstream-io/Cargo.toml
block-buffer	0.10.4	MIT OR Apache-2.0	vendor/block-buffer/Cargo.toml
block2	0.5.1	MIT	vendor/block2/Cargo.toml
bstr	1.11.3	MIT OR Apache-2.0	vendor/bstr/Cargo.toml
built	0.7.7	MIT	vendor/built/Cargo.toml
bumpalo	3.17.0	MIT OR Apache-2.0	vendor/bumpalo/Cargo.toml
bytemuck	1.22.0	Zlib OR Apache-2.0 OR MIT	vendor/bytemuck/Cargo.toml
byteorder-lite	0.1.0	Unlicense OR MIT	vendor/byteorder-lite/Cargo.toml
bytes	1.10.1	MIT	vendor/bytes/Cargo.toml
cassowary	0.3.0	MIT / Apache-2.0	vendor/cassowary/Cargo.toml
castaway	0.2.3	MIT	vendor/castaway/Cargo.toml
cc	1.2.18	MIT OR Apache-2.0	vendor/cc/Cargo.toml
cfg-expr	0.15.8	MIT OR Apache-2.0	vendor/cfg-expr/Cargo.toml
cfg-if	1.0.0	MIT/Apache-2.0	vendor/cfg-if/Cargo.toml
chrono	0.4.40	MIT OR Apache-2.0	vendor/chrono/Cargo.toml
clap	4.5.35	MIT OR Apache-2.0	vendor/clap/Cargo.toml
clap_builder	4.5.35	MIT OR Apache-2.0	vendor/clap_builder/Cargo.toml
clap_complete	4.5.47	MIT OR Apache-2.0	vendor/clap_complete/Cargo.toml
clap_complete_fig	4.5.2	MIT OR Apache-2.0	vendor/clap_complete_fig/Cargo.toml
clap_complete_nushell	4.5.5	MIT OR Apache-2.0	vendor/clap_complete_nushell/Cargo.toml
clap_derive	4.5.32	MIT OR Apache-2.0	vendor/clap_derive/Cargo.toml
clap_lex	0.7.4	MIT OR Apache-2.0	vendor/clap_lex/Cargo.toml
clipboard-win	5.4.0	BSL-1.0	vendor/clipboard-win/Cargo.toml
color_quant	1.1.0	MIT	vendor/color_quant/Cargo.toml
colorchoice	1.0.3	MIT OR Apache-2.0	vendor/colorchoice/Cargo.toml
compact_str	0.8.1	MIT	vendor/compact_str/Cargo.toml
concurrent-queue	2.5.0	Apache-2.0 OR MIT	vendor/concurrent-queue/Cargo.toml
console	0.15.11	MIT	vendor/console/Cargo.toml
core-foundation-sys	0.8.7	MIT OR Apache-2.0	vendor/core-foundation-sys/Cargo.toml
crc32fast	1.4.2	MIT OR Apache-2.0	vendor/crc32fast/Cargo.toml
crossbeam-channel	0.5.14	MIT OR Apache-2.0	vendor/crossbeam-channel/Cargo.toml
crossbeam-deque	0.8.6	MIT OR Apache-2.0	vendor/crossbeam-deque/Cargo.toml
crossbeam-epoch	0.9.18	MIT OR Apache-2.0	vendor/crossbeam-epoch/Cargo.toml
crossbeam-utils	0.8.21	MIT OR Apache-2.0	vendor/crossbeam-utils/Cargo.toml
crossterm	0.28.1	MIT	vendor/crossterm/Cargo.toml
crossterm_winapi	0.9.1	MIT	vendor/crossterm_winapi/Cargo.toml
crunchy	0.2.3	MIT	vendor/crunchy/Cargo.toml
crypto-common	0.1.6	MIT OR Apache-2.0	vendor/crypto-common/Cargo.toml
darling	0.20.11	MIT	vendor/darling/Cargo.toml
darling_core	0.20.11	MIT	vendor/darling_core/Cargo.toml
darling_macro	0.20.11	MIT	vendor/darling_macro/Cargo.toml
deranged	0.4.0	MIT OR Apache-2.0	vendor/deranged/Cargo.toml
derive_builder	0.20.2	MIT OR Apache-2.0	vendor/derive_builder/Cargo.toml
derive_builder_core	0.20.2	MIT OR Apache-2.0	vendor/derive_builder_core/Cargo.toml
derive_builder_macro	0.20.2	MIT OR Apache-2.0	vendor/derive_builder_macro/Cargo.toml
digest	0.10.7	MIT OR Apache-2.0	vendor/digest/Cargo.toml
dirs	6.0.0	MIT OR Apache-2.0	vendor/dirs/Cargo.toml
dirs-sys	0.5.0	MIT OR Apache-2.0	vendor/dirs-sys/Cargo.toml
either	1.15.0	MIT OR Apache-2.0	vendor/either/Cargo.toml
encode_unicode	1.0.0	Apache-2.0 OR MIT	vendor/encode_unicode/Cargo.toml
env_home	0.1.0	MIT OR Apache-2.0	vendor/env_home/Cargo.toml
equivalent	1.0.2	Apache-2.0 OR MIT	vendor/equivalent/Cargo.toml
erased-serde	0.4.6	MIT OR Apache-2.0	vendor/erased-serde/Cargo.toml
errno	0.3.11	MIT OR Apache-2.0	vendor/errno/Cargo.toml
error-code	3.3.1	BSL-1.0	vendor/error-code/Cargo.toml
event-listener	4.0.3	Apache-2.0 OR MIT	vendor/event-listener/Cargo.toml
exr	1.73.0	BSD-3-Clause	vendor/exr/Cargo.toml
fdeflate	0.3.7	MIT OR Apache-2.0	vendor/fdeflate/Cargo.toml
fdlimit	0.3.0	Apache-2.0	vendor/fdlimit/Cargo.toml
filedescriptor	0.8.3	MIT	vendor/filedescriptor/Cargo.toml
filetime	0.2.25	MIT/Apache-2.0	vendor/filetime/Cargo.toml
flate2	1.1.1	MIT OR Apache-2.0	vendor/flate2/Cargo.toml
fnv	1.0.7	Apache-2.0 / MIT	vendor/fnv/Cargo.toml
foldhash	0.1.5	Zlib	vendor/foldhash/Cargo.toml
fsevent-sys	4.1.0	MIT	vendor/fsevent-sys/Cargo.toml
futures	0.3.31	MIT OR Apache-2.0	vendor/futures/Cargo.toml
futures-channel	0.3.31	MIT OR Apache-2.0	vendor/futures-channel/Cargo.toml
futures-core	0.3.31	MIT OR Apache-2.0	vendor/futures-core/Cargo.toml
futures-executor	0.3.31	MIT OR Apache-2.0	vendor/futures-executor/Cargo.toml
futures-io	0.3.31	MIT OR Apache-2.0	vendor/futures-io/Cargo.toml
futures-macro	0.3.31	MIT OR Apache-2.0	vendor/futures-macro/Cargo.toml
futures-sink	0.3.31	MIT OR Apache-2.0	vendor/futures-sink/Cargo.toml
futures-task	0.3.31	MIT OR Apache-2.0	vendor/futures-task/Cargo.toml
futures-util	0.3.31	MIT OR Apache-2.0	vendor/futures-util/Cargo.toml
generic-array	0.14.7	MIT	vendor/generic-array/Cargo.toml
getrandom	0.2.15	MIT OR Apache-2.0	vendor/getrandom-0.2.15/Cargo.toml
getrandom	0.3.2	MIT OR Apache-2.0	vendor/getrandom/Cargo.toml
gif	0.13.1	MIT/Apache-2.0	vendor/gif/Cargo.toml
gimli	0.31.1	MIT OR Apache-2.0	vendor/gimli/Cargo.toml
globset	0.4.16	Unlicense OR MIT	vendor/globset/Cargo.toml
half	2.6.0	MIT OR Apache-2.0	vendor/half/Cargo.toml
hashbrown	0.15.2	MIT OR Apache-2.0	vendor/hashbrown/Cargo.toml
heck	0.5.0	MIT OR Apache-2.0	vendor/heck/Cargo.toml
iana-time-zone	0.1.63	MIT OR Apache-2.0	vendor/iana-time-zone/Cargo.toml
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0	vendor/iana-time-zone-haiku/Cargo.toml
ident_case	1.0.1	MIT/Apache-2.0	vendor/ident_case/Cargo.toml
image	0.25.6	MIT OR Apache-2.0	vendor/image/Cargo.toml
image-webp	0.2.1	MIT OR Apache-2.0	vendor/image-webp/Cargo.toml
imgref	1.11.0	CC0-1.0 OR Apache-2.0	vendor/imgref/Cargo.toml
indexmap	2.9.0	Apache-2.0 OR MIT	vendor/indexmap/Cargo.toml
indoc	2.0.6	MIT OR Apache-2.0	vendor/indoc/Cargo.toml
inotify	0.11.0	ISC	vendor/inotify/Cargo.toml
inotify-sys	0.1.5	ISC	vendor/inotify-sys/Cargo.toml
instability	0.3.7	MIT	vendor/instability/Cargo.toml
interpolate_name	0.2.4	MIT	vendor/interpolate_name/Cargo.toml
is_terminal_polyfill	1.70.1	MIT OR Apache-2.0	vendor/is_terminal_polyfill/Cargo.toml
itertools	0.12.1	MIT OR Apache-2.0	vendor/itertools-0.12.1/Cargo.toml
itertools	0.13.0	MIT OR Apache-2.0	vendor/itertools/Cargo.toml
itoa	1.0.15	MIT OR Apache-2.0	vendor/itoa/Cargo.toml
jobserver	0.1.33	MIT OR Apache-2.0	vendor/jobserver/Cargo.toml
js-sys	0.3.77	MIT OR Apache-2.0	vendor/js-sys/Cargo.toml
kqueue	1.0.8	MIT	vendor/kqueue/Cargo.toml
kqueue-sys	1.0.4	MIT	vendor/kqueue-sys/Cargo.toml
lazy_static	1.5.0	MIT OR Apache-2.0	vendor/lazy_static/Cargo.toml
lebe	0.5.2	BSD-3-Clause	vendor/lebe/Cargo.toml
libc	0.2.171	MIT OR Apache-2.0	vendor/libc/Cargo.toml
libfuzzer-sys	0.4.9	(MIT OR Apache-2.0) AND NCSA	vendor/libfuzzer-sys/Cargo.toml
libredox	0.1.3	MIT	vendor/libredox/Cargo.toml
linux-raw-sys	0.4.15	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/linux-raw-sys/Cargo.toml
lock_api	0.4.12	MIT OR Apache-2.0	vendor/lock_api/Cargo.toml
log	0.4.27	MIT OR Apache-2.0	vendor/log/Cargo.toml
loop9	0.1.5	MIT	vendor/loop9/Cargo.toml
lru	0.12.5	MIT	vendor/lru-0.12.5/Cargo.toml
lru	0.13.0	MIT	vendor/lru/Cargo.toml
lua-src	547.0.0	MIT	vendor/lua-src/Cargo.toml
luajit-src	210.5.12+a4f56a4	MIT	vendor/luajit-src/Cargo.toml
malloc_buf	0.0.6	MIT	vendor/malloc_buf/Cargo.toml
matchers	0.1.0	MIT	vendor/matchers/Cargo.toml
maybe-rayon	0.1.1	MIT	vendor/maybe-rayon/Cargo.toml
md-5	0.10.6	MIT OR Apache-2.0	vendor/md-5/Cargo.toml
memchr	2.7.4	Unlicense OR MIT	vendor/memchr/Cargo.toml
minimal-lexical	0.2.1	MIT/Apache-2.0	vendor/minimal-lexical/Cargo.toml
miniz_oxide	0.8.7	MIT OR Zlib OR Apache-2.0	vendor/miniz_oxide/Cargo.toml
mio	1.0.3	MIT	vendor/mio/Cargo.toml
mlua	0.10.3	MIT	vendor/mlua/Cargo.toml
mlua-sys	0.6.7	MIT	vendor/mlua-sys/Cargo.toml
mlua_derive	0.10.1	MIT	vendor/mlua_derive/Cargo.toml
new_debug_unreachable	1.0.6	MIT	vendor/new_debug_unreachable/Cargo.toml
nom	7.1.3	MIT	vendor/nom/Cargo.toml
noop_proc_macro	0.3.0	MIT	vendor/noop_proc_macro/Cargo.toml
notify	8.0.0	CC0-1.0	vendor/notify/Cargo.toml
notify-types	2.0.0	MIT OR Apache-2.0	vendor/notify-types/Cargo.toml
nu-ansi-term	0.46.0	MIT	vendor/nu-ansi-term/Cargo.toml
num-bigint	0.4.6	MIT OR Apache-2.0	vendor/num-bigint/Cargo.toml
num-conv	0.1.0	MIT OR Apache-2.0	vendor/num-conv/Cargo.toml
num-derive	0.4.2	MIT OR Apache-2.0	vendor/num-derive/Cargo.toml
num-integer	0.1.46	MIT OR Apache-2.0	vendor/num-integer/Cargo.toml
num-rational	0.4.2	MIT OR Apache-2.0	vendor/num-rational/Cargo.toml
num-traits	0.2.19	MIT OR Apache-2.0	vendor/num-traits/Cargo.toml
num_threads	0.1.7	MIT OR Apache-2.0	vendor/num_threads/Cargo.toml
objc	0.2.7	MIT	vendor/objc/Cargo.toml
objc-sys	0.3.5	MIT	vendor/objc-sys/Cargo.toml
objc2	0.5.2	MIT	vendor/objc2/Cargo.toml
objc2-encode	4.1.0	MIT	vendor/objc2-encode/Cargo.toml
objc2-foundation	0.2.2	MIT	vendor/objc2-foundation/Cargo.toml
object	0.36.7	Apache-2.0 OR MIT	vendor/object/Cargo.toml
once_cell	1.21.3	MIT OR Apache-2.0	vendor/once_cell/Cargo.toml
onig	6.4.0	MIT	vendor/onig/Cargo.toml
onig_sys	69.8.1	MIT	vendor/onig_sys/Cargo.toml
option-ext	0.2.0	MPL-2.0	vendor/option-ext/Cargo.toml
ordered-float	2.10.1	MIT	vendor/ordered-float/Cargo.toml
overload	0.1.1	MIT	vendor/overload/Cargo.toml
parking	2.2.1	Apache-2.0 OR MIT	vendor/parking/Cargo.toml
parking_lot	0.12.3	MIT OR Apache-2.0	vendor/parking_lot/Cargo.toml
parking_lot_core	0.9.10	MIT OR Apache-2.0	vendor/parking_lot_core/Cargo.toml
paste	1.0.15	MIT OR Apache-2.0	vendor/paste/Cargo.toml
percent-encoding	2.3.1	MIT OR Apache-2.0	vendor/percent-encoding/Cargo.toml
pin-project-lite	0.2.16	Apache-2.0 OR MIT	vendor/pin-project-lite/Cargo.toml
pin-utils	0.1.0	MIT OR Apache-2.0	vendor/pin-utils/Cargo.toml
pkg-config	0.3.32	MIT OR Apache-2.0	vendor/pkg-config/Cargo.toml
plist	1.7.1	MIT	vendor/plist/Cargo.toml
png	0.17.16	MIT OR Apache-2.0	vendor/png/Cargo.toml
powerfmt	0.2.0	MIT OR Apache-2.0	vendor/powerfmt/Cargo.toml
ppv-lite86	0.2.21	MIT OR Apache-2.0	vendor/ppv-lite86/Cargo.toml
proc-macro-error-attr2	2.0.0	MIT OR Apache-2.0	vendor/proc-macro-error-attr2/Cargo.toml
proc-macro-error2	2.0.1	MIT OR Apache-2.0	vendor/proc-macro-error2/Cargo.toml
proc-macro2	1.0.94	MIT OR Apache-2.0	vendor/proc-macro2/Cargo.toml
profiling	1.0.16	MIT OR Apache-2.0	vendor/profiling/Cargo.toml
profiling-procmacros	1.0.16	MIT OR Apache-2.0	vendor/profiling-procmacros/Cargo.toml
qoi	0.4.1	MIT/Apache-2.0	vendor/qoi/Cargo.toml
quick-error	2.0.1	MIT/Apache-2.0	vendor/quick-error/Cargo.toml
quick-xml	0.32.0	MIT	vendor/quick-xml/Cargo.toml
quote	1.0.40	MIT OR Apache-2.0	vendor/quote/Cargo.toml
r-efi	5.2.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	vendor/r-efi/Cargo.toml
rand	0.8.5	MIT OR Apache-2.0	vendor/rand/Cargo.toml
rand_chacha	0.3.1	MIT OR Apache-2.0	vendor/rand_chacha/Cargo.toml
rand_core	0.6.4	MIT OR Apache-2.0	vendor/rand_core/Cargo.toml
ratatui	0.29.0	MIT	vendor/ratatui/Cargo.toml
rav1e	0.7.1	BSD-2-Clause	vendor/rav1e/Cargo.toml
ravif	0.11.11	BSD-3-Clause	vendor/ravif/Cargo.toml
rayon-core	1.12.1	MIT OR Apache-2.0	vendor/rayon-core/Cargo.toml
redox_syscall	0.5.11	MIT	vendor/redox_syscall/Cargo.toml
redox_users	0.5.0	MIT	vendor/redox_users/Cargo.toml
regex	1.11.1	MIT OR Apache-2.0	vendor/regex/Cargo.toml
regex-automata	0.1.10	Unlicense/MIT	vendor/regex-automata-0.1.10/Cargo.toml
regex-automata	0.4.9	MIT OR Apache-2.0	vendor/regex-automata/Cargo.toml
